STATE,DISTRICT,DISTRICT_NS,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,QTR_ENDED,DATE,FISCAL_YEAR
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,4240,3195,32,0,1013,351,221,31,0,99,3889,2974,1,914,09/30/12,2012-09-30,2012
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,4237,3560,25,0,652,167,128,24,0,15,4070,3432,1,637,09/30/12,2012-09-30,2012
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,10727,3795,202,38,6692,431,141,181,38,71,10296,3654,21,6621,09/30/12,2012-09-30,2012
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,8546,7423,133,7,983,376,235,108,7,26,8170,7188,25,957,09/30/12,2012-09-30,2012
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,8542,6740,42,23,1737,233,138,42,23,30,8309,6602,0,1707,09/30/12,2012-09-30,2012
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,17721,15904,245,1,1570,651,401,231,1,17,17070,15503,14,1553,09/30/12,2012-09-30,2012
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,11198,8702,861,2,1598,1221,315,843,2,26,9977,8387,18,1572,09/30/12,2012-09-30,2012
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,6362,4629,41,2,1690,264,185,41,2,36,6098,4444,0,1654,09/30/12,2012-09-30,2012
VERMONT,VERMONT,VT,SECOND CIRCUIT,1052,826,3,4,219,65,45,3,4,13,987,781,0,206,09/30/12,2012-09-30,2012
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3879,2315,554,4,947,738,111,554,4,10,3141,2204,0,937,09/30/12,2012-09-30,2012
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,33431,25913,335,1,7182,1144,773,296,1,74,32287,25140,39,7108,09/30/12,2012-09-30,2012
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,12550,8221,116,2,4211,452,272,107,2,71,12098,7949,9,4140,09/30/12,2012-09-30,2012
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,7751,5400,38,5,2307,245,161,36,5,42,7506,5239,2,2265,09/30/12,2012-09-30,2012
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,9838,6955,130,9,2744,375,199,119,9,48,9463,6756,11,2696,09/30/12,2012-09-30,2012
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,35,20,7,0,8,9,2,6,0,1,26,18,1,7,09/30/12,2012-09-30,2012
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,24064,19242,177,5,4640,616,432,140,5,39,23448,18810,37,4601,09/30/12,2012-09-30,2012
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,9472,3021,178,10,6263,482,255,157,10,60,8990,2766,21,6203,09/30/12,2012-09-30,2012
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,5818,2540,23,2,3253,281,190,21,2,68,5537,2350,2,3185,09/30/12,2012-09-30,2012
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,6865,4415,77,7,2366,305,205,71,7,22,6560,4210,6,2344,09/30/12,2012-09-30,2012
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,8085,3572,83,4,4425,338,247,72,4,14,7747,3325,11,4411,09/30/12,2012-09-30,2012
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,23481,14982,126,0,8372,598,459,107,0,31,22883,14523,19,8341,09/30/12,2012-09-30,2012
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,7153,4923,25,1,2204,158,124,24,1,9,6995,4799,1,2195,09/30/12,2012-09-30,2012
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1795,1528,14,0,253,79,59,14,0,6,1716,1469,0,247,09/30/12,2012-09-30,2012
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,2310,2007,25,0,278,79,48,25,0,6,2231,1959,0,272,09/30/12,2012-09-30,2012
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,3984,2080,42,1,1860,228,173,36,1,17,3756,1907,6,1843,09/30/12,2012-09-30,2012
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,1898,1018,15,1,864,72,54,15,1,2,1826,964,0,862,09/30/12,2012-09-30,2012
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,10462,2654,43,6,7759,242,113,42,6,81,10220,2541,1,7678,09/30/12,2012-09-30,2012
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,5681,2640,33,4,3004,139,88,33,4,14,5542,2552,0,2990,09/30/12,2012-09-30,2012
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,7127,4031,46,1,3049,208,154,45,1,8,6919,3877,1,3041,09/30/12,2012-09-30,2012
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,18084,7758,243,16,10067,999,642,231,16,110,17085,7116,12,9957,09/30/12,2012-09-30,2012
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,6433,3048,100,2,3283,466,320,96,2,48,5967,2728,4,3235,09/30/12,2012-09-30,2012
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,13459,5116,214,3,8123,782,506,196,3,74,12677,4610,18,8049,09/30/12,2012-09-30,2012
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,11338,5724,154,6,5454,732,500,147,6,79,10606,5224,7,5375,09/30/12,2012-09-30,2012
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,9822,7253,32,8,2529,197,144,30,8,15,9625,7109,2,2514,09/30/12,2012-09-30,2012
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,10626,7717,41,6,2862,243,179,38,6,20,10383,7538,3,2842,09/30/12,2012-09-30,2012
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,39146,32194,219,10,6719,919,637,198,10,70,38227,31557,21,6649,09/30/12,2012-09-30,2012
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,12362,10511,42,5,1804,429,342,38,5,44,11933,10169,4,1760,09/30/12,2012-09-30,2012
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,26942,22005,53,5,4876,604,482,49,5,65,26338,21523,4,4811,09/30/12,2012-09-30,2012
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,25206,17609,41,1,7555,517,408,37,1,71,24689,17201,4,7484,09/30/12,2012-09-30,2012
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,14471,8304,64,12,6091,302,214,55,12,21,14169,8090,9,6070,09/30/12,2012-09-30,2012
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,12334,7274,115,1,4944,309,217,76,1,15,12025,7057,39,4929,09/30/12,2012-09-30,2012
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,17830,4910,55,1,12864,192,116,46,1,29,17638,4794,9,12835,09/30/12,2012-09-30,2012
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,57289,40474,318,0,16497,1747,1388,291,0,68,55542,39086,27,16429,09/30/12,2012-09-30,2012
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,7829,6291,26,1,1511,172,134,25,1,12,7657,6157,1,1499,09/30/12,2012-09-30,2012
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,4805,3073,14,1,1717,100,68,13,1,18,4705,3005,1,1699,09/30/12,2012-09-30,2012
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,14560,11040,39,6,3475,214,148,37,6,23,14346,10892,2,3452,09/30/12,2012-09-30,2012
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,21909,15516,70,1,6322,458,355,67,1,35,21451,15161,3,6287,09/30/12,2012-09-30,2012
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,18732,13660,46,17,5009,425,325,41,17,42,18307,13335,5,4967,09/30/12,2012-09-30,2012
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,7225,6096,53,21,1055,307,208,47,21,31,6918,5888,6,1024,09/30/12,2012-09-30,2012
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,7895,3744,26,3,4121,166,121,25,3,16,7729,3623,1,4105,09/30/12,2012-09-30,2012
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,5160,3214,18,9,1918,213,153,18,9,32,4947,3061,0,1886,09/30/12,2012-09-30,2012
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,2506,2318,8,5,174,132,117,8,5,1,2374,2201,0,173,09/30/12,2012-09-30,2012
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,4223,3773,11,2,436,165,147,10,2,6,4058,3626,1,430,09/30/12,2012-09-30,2012
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,17666,14664,51,10,2938,622,519,47,10,43,17044,14145,4,2895,09/30/12,2012-09-30,2012
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,15013,10968,36,1,4008,289,238,34,1,16,14724,10730,2,3992,09/30/12,2012-09-30,2012
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,12199,8719,79,3,3398,337,236,77,3,21,11862,8483,2,3377,09/30/12,2012-09-30,2012
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,5872,4108,20,6,1734,167,119,19,6,19,5705,3989,1,1715,09/30/12,2012-09-30,2012
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,1060,936,3,1,120,34,30,3,1,0,1026,906,0,120,09/30/12,2012-09-30,2012
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,1620,1469,4,3,144,67,53,4,3,7,1553,1416,0,137,09/30/12,2012-09-30,2012
ALASKA,ALASKA,AK,NINTH CIRCUIT,841,699,3,1,138,50,34,3,1,12,791,665,0,126,09/30/12,2012-09-30,2012
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,30135,25688,467,3,3974,1215,796,363,3,51,28920,24892,104,3923,09/30/12,2012-09-30,2012
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,28935,17684,264,22,10963,1105,766,158,22,157,27830,16918,106,10806,09/30/12,2012-09-30,2012
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,39481,31303,203,40,7929,1100,757,151,40,146,38381,30546,52,7783,09/30/12,2012-09-30,2012
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,111909,85130,966,7,25803,3670,2864,628,7,168,108239,82266,338,25635,09/30/12,2012-09-30,2012
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,18359,14564,113,1,3681,511,393,65,1,52,17848,14171,48,3629,09/30/12,2012-09-30,2012
HAWAII,HAWAII,HI,NINTH CIRCUIT,2672,2032,10,3,627,97,73,7,3,14,2575,1959,3,613,09/30/12,2012-09-30,2012
IDAHO,IDAHO,ID,NINTH CIRCUIT,6690,5906,34,14,736,268,209,28,14,17,6422,5697,6,719,09/30/12,2012-09-30,2012
MONTANA,MONTANA,MT,NINTH CIRCUIT,2175,1784,30,2,359,114,72,27,2,13,2061,1712,3,346,09/30/12,2012-09-30,2012
NEVADA,NEVADA,NV,NINTH CIRCUIT,19434,15299,378,1,3755,690,418,240,1,30,18744,14881,138,3725,09/30/12,2012-09-30,2012
OREGON,OREGON,OR,NINTH CIRCUIT,16048,12497,58,8,3485,453,317,58,8,70,15595,12180,0,3415,09/30/12,2012-09-30,2012
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,5726,4534,18,5,1169,142,105,16,5,16,5584,4429,2,1153,09/30/12,2012-09-30,2012
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,22955,18363,201,1,4390,797,585,165,1,46,22158,17778,36,4344,09/30/12,2012-09-30,2012
GUAM,GUAM,GUAM,NINTH CIRCUIT,153,119,2,0,32,6,4,2,0,0,147,115,0,32,09/30/12,2012-09-30,2012
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,11,9,1,0,1,2,1,1,0,0,9,8,0,1,09/30/12,2012-09-30,2012
COLORADO,COLORADO,CO,TENTH CIRCUIT,27578,22808,126,2,4642,964,794,121,2,47,26614,22014,5,4595,09/30/12,2012-09-30,2012
KANSAS,KANSAS,KS,TENTH CIRCUIT,9301,6089,51,11,3150,235,147,49,11,28,9066,5942,2,3122,09/30/12,2012-09-30,2012
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,4937,4454,43,1,439,185,144,36,1,4,4752,4310,7,435,09/30/12,2012-09-30,2012
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,3642,3228,9,2,403,127,113,8,2,4,3515,3115,1,399,09/30/12,2012-09-30,2012
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,1903,1711,2,2,187,48,41,2,2,2,1855,1670,0,185,09/30/12,2012-09-30,2012
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,6727,5312,20,6,1389,166,132,14,6,14,6561,5180,6,1375,09/30/12,2012-09-30,2012
UTAH,UTAH,UT,TENTH CIRCUIT,16545,11083,67,0,5395,436,348,59,0,29,16109,10735,8,5366,09/30/12,2012-09-30,2012
WYOMING,WYOMING,WY,TENTH CIRCUIT,1307,1104,15,2,186,78,58,13,2,5,1229,1046,2,181,09/30/12,2012-09-30,2012
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,15901,7454,56,5,8384,289,218,48,5,16,15612,7236,8,8368,09/30/12,2012-09-30,2012
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,7935,1917,21,2,5995,171,137,20,2,12,7764,1780,1,5983,09/30/12,2012-09-30,2012
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,4808,1519,34,0,3255,95,61,26,0,8,4713,1458,8,3247,09/30/12,2012-09-30,2012
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,3887,3245,61,1,580,276,205,53,1,17,3611,3040,8,563,09/30/12,2012-09-30,2012
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,47513,34611,518,15,12367,2028,1411,437,15,164,45485,33200,81,12203,09/30/12,2012-09-30,2012
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,32802,23288,317,1,9196,1085,752,281,1,51,31717,22536,36,9145,09/30/12,2012-09-30,2012
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,47329,26560,263,12,20493,1434,1114,243,12,64,45895,25446,20,20429,09/30/12,2012-09-30,2012
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,10726,4003,57,17,6649,362,241,54,17,50,10364,3762,3,6599,09/30/12,2012-09-30,2012
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,9024,2136,70,8,6808,228,125,68,8,25,8796,2011,2,6783,09/30/12,2012-09-30,2012
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,855,696,35,0,124,64,31,30,0,3,791,665,5,121,09/30/13,2013-09-30,2013
MAINE,MAINE,ME,FIRST CIRCUIT,2575,2140,22,6,407,152,101,21,6,24,2423,2039,1,383,09/30/13,2013-09-30,2013
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,13201,10323,130,26,2722,427,271,90,26,40,12774,10052,40,2682,09/30/13,2013-09-30,2013
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,3376,2533,37,0,806,263,162,30,0,71,3113,2371,7,735,09/30/13,2013-09-30,2013
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,3547,2989,13,0,545,130,109,12,0,9,3417,2880,1,536,09/30/13,2013-09-30,2013
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,11043,3872,225,21,6925,417,144,196,21,56,10626,3728,29,6869,09/30/13,2013-09-30,2013
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,7321,6235,115,2,969,326,210,101,2,13,6995,6025,14,956,09/30/13,2013-09-30,2013
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,7838,6219,34,8,1577,179,111,31,8,29,7659,6108,3,1548,09/30/13,2013-09-30,2013
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,14314,12647,237,0,1426,585,333,227,0,21,13729,12314,10,1405,09/30/13,2013-09-30,2013
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,9298,7487,369,1,1422,678,284,346,1,28,8620,7203,23,1394,09/30/13,2013-09-30,2013
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,5742,4030,46,3,1663,212,132,45,3,32,5530,3898,1,1631,09/30/13,2013-09-30,2013
VERMONT,VERMONT,VT,SECOND CIRCUIT,933,742,1,1,188,36,30,1,1,4,897,712,0,184,09/30/13,2013-09-30,2013
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3581,1897,937,0,730,1083,123,937,0,6,2498,1774,0,724,09/30/13,2013-09-30,2013
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,28882,22149,293,1,6439,916,596,252,1,67,27966,21553,41,6372,09/30/13,2013-09-30,2013
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,11973,7141,135,5,4691,470,274,128,5,62,11503,6867,7,4629,09/30/13,2013-09-30,2013
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,6855,4639,52,2,2162,220,127,49,2,42,6635,4512,3,2120,09/30/13,2013-09-30,2013
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,8735,5782,106,7,2840,347,210,94,7,36,8388,5572,12,2804,09/30/13,2013-09-30,2013
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,21,15,1,0,5,8,7,1,0,0,13,8,0,5,09/30/13,2013-09-30,2013
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,23193,17735,189,4,5265,570,379,143,4,44,22623,17356,46,5221,09/30/13,2013-09-30,2013
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,8429,2577,128,1,5723,309,164,106,1,38,8120,2413,22,5685,09/30/13,2013-09-30,2013
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,5126,2162,22,2,2940,211,155,21,2,33,4915,2007,1,2907,09/30/13,2013-09-30,2013
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,5883,3480,57,4,2342,241,162,49,4,26,5642,3318,8,2316,09/30/13,2013-09-30,2013
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,7618,3150,64,4,4400,247,176,56,4,11,7371,2974,8,4389,09/30/13,2013-09-30,2013
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,20239,12398,156,1,7684,487,332,125,1,29,19752,12066,31,7655,09/30/13,2013-09-30,2013
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,6339,4208,31,3,2097,129,95,27,3,4,6210,4113,4,2093,09/30/13,2013-09-30,2013
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1627,1379,10,0,238,52,42,9,0,1,1575,1337,1,237,09/30/13,2013-09-30,2013
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,2138,1820,27,1,290,71,39,26,1,5,2067,1781,1,285,09/30/13,2013-09-30,2013
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,3764,1987,34,0,1743,206,155,33,0,18,3558,1832,1,1725,09/30/13,2013-09-30,2013
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,1821,1030,9,0,782,51,41,9,0,1,1770,989,0,781,09/30/13,2013-09-30,2013
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,10387,2390,43,5,7949,134,77,34,5,18,10253,2313,9,7931,09/30/13,2013-09-30,2013
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,5654,2371,26,3,3254,121,76,26,3,16,5533,2295,0,3238,09/30/13,2013-09-30,2013
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,7284,3937,21,1,3325,173,144,19,1,9,7111,3793,2,3316,09/30/13,2013-09-30,2013
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,15353,6406,229,4,8713,843,527,217,4,94,14510,5879,12,8619,09/30/13,2013-09-30,2013
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,5942,2786,67,1,3088,370,282,60,1,27,5572,2504,7,3061,09/30/13,2013-09-30,2013
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,11480,4277,202,1,7000,628,375,194,1,58,10852,3902,8,6942,09/30/13,2013-09-30,2013
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,10005,5024,148,2,4831,645,438,134,2,71,9360,4586,14,4760,09/30/13,2013-09-30,2013
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,9278,6754,45,3,2476,183,116,43,3,21,9095,6638,2,2455,09/30/13,2013-09-30,2013
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,9394,6738,42,4,2608,194,126,41,4,21,9200,6612,1,2587,09/30/13,2013-09-30,2013
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,33146,26967,167,13,5998,704,472,149,13,69,32442,26495,18,5929,09/30/13,2013-09-30,2013
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,10886,9193,44,8,1641,353,276,40,8,29,10533,8917,4,1612,09/30/13,2013-09-30,2013
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,26404,21235,54,5,5110,488,383,49,5,51,25916,20852,5,5059,09/30/13,2013-09-30,2013
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,22291,15759,49,7,6476,456,365,42,7,42,21835,15394,7,6434,09/30/13,2013-09-30,2013
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,13628,7502,60,7,6059,262,189,50,7,16,13366,7313,10,6043,09/30/13,2013-09-30,2013
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,11633,6816,99,5,4713,261,180,65,5,11,11372,6636,34,4702,09/30/13,2013-09-30,2013
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,17649,4812,59,0,12778,163,90,51,0,22,17486,4722,8,12756,09/30/13,2013-09-30,2013
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,56300,37437,344,0,18519,1458,1077,303,0,78,54842,36360,41,18441,09/30/13,2013-09-30,2013
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,6940,5347,42,0,1551,163,110,40,0,13,6777,5237,2,1538,09/30/13,2013-09-30,2013
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,4885,2978,12,2,1893,80,53,11,2,14,4805,2925,1,1879,09/30/13,2013-09-30,2013
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,13907,10621,43,5,3238,214,141,40,5,28,13693,10480,3,3210,09/30/13,2013-09-30,2013
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,20588,14235,84,3,6265,428,323,77,3,24,20160,13912,7,6241,09/30/13,2013-09-30,2013
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,17067,12310,29,4,4724,342,270,27,4,41,16725,12040,2,4683,09/30/13,2013-09-30,2013
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,6406,5344,28,21,1013,233,158,23,21,31,6173,5186,5,982,09/30/13,2013-09-30,2013
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,7847,3402,27,3,4414,145,102,25,3,14,7702,3300,2,4400,09/30/13,2013-09-30,2013
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,4733,2711,29,11,1981,164,105,24,11,23,4569,2606,5,1958,09/30/13,2013-09-30,2013
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,2209,2073,3,5,128,81,71,2,5,3,2128,2002,1,125,09/30/13,2013-09-30,2013
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,3683,3275,13,1,394,159,143,13,1,2,3524,3132,0,392,09/30/13,2013-09-30,2013
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,15003,12442,64,11,2485,461,360,57,11,33,14542,12082,7,2452,09/30/13,2013-09-30,2013
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,14970,10344,129,0,4496,336,198,127,0,10,14634,10146,2,4486,09/30/13,2013-09-30,2013
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,10981,8084,41,4,2852,261,195,37,4,25,10720,7889,4,2827,09/30/13,2013-09-30,2013
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,5362,3685,33,10,1632,166,109,31,10,14,5196,3576,2,1618,09/30/13,2013-09-30,2013
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,872,782,4,0,86,36,30,4,0,2,836,752,0,84,09/30/13,2013-09-30,2013
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,1366,1236,4,4,122,59,42,4,4,9,1307,1194,0,113,09/30/13,2013-09-30,2013
ALASKA,ALASKA,AK,NINTH CIRCUIT,638,509,8,0,110,63,34,8,0,10,575,475,0,100,09/30/13,2013-09-30,2013
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,24046,20554,340,2,3146,925,617,263,2,39,23121,19937,77,3107,09/30/13,2013-09-30,2013
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,21841,13028,255,15,8541,877,588,153,15,119,20964,12440,102,8422,09/30/13,2013-09-30,2013
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,30685,24510,156,25,5994,889,665,106,25,93,29796,23845,50,5901,09/30/13,2013-09-30,2013
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,82861,66298,761,4,15797,2827,2154,536,4,132,80034,64144,225,15665,09/30/13,2013-09-30,2013
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,13816,11027,86,0,2702,479,363,56,0,59,13337,10664,30,2643,09/30/13,2013-09-30,2013
