DATE,DISTRICT_NS,STATE,DISTRICT,CIRCUIT,CIRCUIT_NUM,CHAP_12_j,CHAP_12_j_q,CHAP_12_q,CHAP_12_impute,impute,YEAR,FISCAL_YEAR
1988-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,11.5,NA,11.5,19,1988,1989
1989-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,11.5,NA,11.5,19,1989,1989
1989-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,11.5,NA,11.5,1,1989,1989
1989-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,46,11.5,NA,11.5,7,1989,1989
1989-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,7.25,NA,7.25,9,1989,1990
1990-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,7.25,NA,7.25,11,1990,1990
1990-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,7.25,NA,7.25,7,1990,1990
1990-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,29,7.25,NA,7.25,2,1990,1990
1990-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,5.75,NA,5.75,3,1990,1991
1991-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,5.75,NA,5.75,11,1991,1991
1991-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,5.75,NA,5.75,1,1991,1991
1991-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,23,5.75,NA,5.75,8,1991,1991
1991-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,7.5,NA,7.5,6,1991,1992
1992-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,7.5,NA,7.5,10,1992,1992
1992-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,7.5,NA,7.5,7,1992,1992
1992-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,30,7.5,NA,7.5,7,1992,1992
1992-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,6,NA,6,7,1992,1993
1993-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,6,NA,6,6,1993,1993
1993-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,6,NA,6,8,1993,1993
1993-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,24,6,NA,6,3,1993,1993
1993-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3,NA,3,3,1993,1994
1994-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3,NA,3,3,1994,1994
1994-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3,NA,3,4,1994,1994
1994-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,12,3,NA,3,2,1994,1994
1994-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3.5,NA,3.5,4,1994,1995
1995-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3.5,NA,3.5,2,1995,1995
1995-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3.5,NA,3.5,2,1995,1995
1995-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,14,3.5,NA,3.5,6,1995,1995
1995-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,4.75,5,5,5,1995,1996
1996-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,4.75,7,7,7,1996,1996
1996-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,4.75,4,4,4,1996,1996
1996-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,19,4.75,3,3,3,1996,1996
1996-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,5.75,4,4,4,1996,1997
1997-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,5.75,8,8,8,1997,1997
1997-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,5.75,4,4,4,1997,1997
1997-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,23,5.75,7,7,7,1997,1997
1997-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,2.5,1,1,1,1997,1998
1998-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,2.5,3,3,3,1998,1998
1998-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,2.5,2,2,2,1998,1998
1998-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,10,2.5,4,4,4,1998,1998
1998-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,4.5,6,6,6,1998,1999
1999-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,4.5,4,4,4,1999,1999
1999-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,4.5,6,6,6,1999,1999
1999-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,18,4.5,2,2,2,1999,1999
1999-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3.75,2,2,2,1999,2e3
2000-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3.75,3,3,3,2e3,2e3
2000-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3.75,8,8,8,2e3,2e3
2000-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,15,3.75,2,2,2,2e3,2e3
2000-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.75,0,0,0,2e3,2001
2001-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.75,1,1,1,2001,2001
2001-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.75,0,0,0,2001,2001
2001-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,3,0.75,2,2,2,2001,2001
2001-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,0,0,0,2001,2002
2002-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,0,0,0,2002,2002
2002-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,0,0,0,2002,2002
2002-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,4,1,4,4,4,2002,2002
2002-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3,5,5,5,2002,2003
2003-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3,1,1,1,2003,2003
2003-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3,3,3,3,2003,2003
2003-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,12,3,3,3,3,2003,2003
2003-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.5,1,1,1,2003,2004
2004-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.5,0,0,0,2004,2004
2004-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.5,0,0,0,2004,2004
2004-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,2,0.5,1,1,1,2004,2004
2004-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1.75,3,3,3,2004,2005
2005-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1.75,2,2,2,2005,2005
2005-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1.75,1,1,1,2005,2005
2005-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,7,1.75,1,1,1,2005,2005
2005-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,2,2,2,2005,2006
2006-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,0,0,0,2006,2006
2006-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,1,1,1,2006,2006
2006-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,4,1,1,1,1,2006,2006
2006-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.25,0,0,0,2006,2007
2007-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.25,1,1,1,2007,2007
2007-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.25,0,0,0,2007,2007
2007-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,1,0.25,0,0,0,2007,2007
2007-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.75,0,0,0,2007,2008
2008-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.75,1,1,1,2008,2008
2008-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.75,0,0,0,2008,2008
2008-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,3,0.75,2,2,2,2008,2008
2008-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1.75,2,2,2,2008,2009
2009-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1.75,1,1,1,2009,2009
2009-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1.75,4,4,4,2009,2009
2009-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,7,1.75,0,0,0,2009,2009
2009-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3,5,5,5,2009,2010
2010-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3,2,2,2,2010,2010
2010-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,3,0,0,0,2010,2010
2010-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,12,3,5,5,5,2010,2010
2010-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,2,2,2,2010,2011
2011-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,1,1,1,2011,2011
2011-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,0,0,0,2011,2011
2011-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,4,1,1,1,1,2011,2011
2011-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.5,0,0,0,2011,2012
2012-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.5,0,0,0,2012,2012
2012-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.5,1,1,1,2012,2012
2012-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,2,0.5,1,1,1,2012,2012
2012-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,2,2,2,2012,2013
2013-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,1,1,1,2013,2013
2013-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,1,1,1,2013,2013
2013-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,4,1,0,0,0,2013,2013
2013-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.5,1,1,1,2013,2014
2014-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.5,0,0,0,2014,2014
2014-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.5,0,0,0,2014,2014
2014-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,2,0.5,1,1,1,2014,2014
2014-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,1,1,1,2014,2015
2015-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,2,2,2,2015,2015
2015-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,1,0,0,0,2015,2015
2015-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,4,1,1,1,1,2015,2015
2015-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0,0,0,0,2015,2016
2016-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0,0,0,0,2016,2016
2016-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0,0,0,0,2016,2016
2016-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,0,0,0,0,0,2016,2016
2016-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.25,0,0,0,2016,2017
2017-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.25,0,0,0,2017,2017
2017-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.25,1,1,1,2017,2017
2017-09-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.25,1,1,1,2017,2017
2017-12-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.25,0,0,0,2017,2018
2018-03-31,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.25,6,6,6,2018,2018
2018-06-30,CO,COLORADO,COLORADO,TENTH CIRCUIT,10TH,NA,0.25,1,1,1,2018,2018
1986-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,NA,0.25,NA,1986,1987
1987-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,NA,0.25,1,1987,1987
1987-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,NA,0.25,0,1987,1987
1987-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,1,0.25,NA,0.25,0,1987,1987
1987-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,NA,0,0,1987,1988
1988-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,NA,0,0,1988,1988
1988-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,NA,0,0,1988,1988
1988-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,0,0,NA,0,0,1988,1988
1988-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,NA,0,0,1988,1989
1989-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,NA,0,0,1989,1989
1989-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,NA,0,0,1989,1989
1989-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,0,0,NA,0,0,1989,1989
1989-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,NA,0.25,0,1989,1990
1990-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,NA,0.25,0,1990,1990
1990-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,NA,0.25,0,1990,1990
1990-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,1,0.25,NA,0.25,1,1990,1990
1990-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,NA,0,0,1990,1991
1991-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,NA,0,0,1991,1991
1991-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,NA,0,0,1991,1991
1991-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,0,0,NA,0,0,1991,1991
1991-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,NA,0.5,0,1991,1992
1992-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,NA,0.5,1,1992,1992
1992-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,NA,0.5,0,1992,1992
1992-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,2,0.5,NA,0.5,1,1992,1992
1992-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.75,NA,0.75,1,1992,1993
1993-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.75,NA,0.75,0,1993,1993
1993-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.75,NA,0.75,1,1993,1993
1993-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,3,0.75,NA,0.75,1,1993,1993
1993-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1.5,NA,1.5,2,1993,1994
1994-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1.5,NA,1.5,0,1994,1994
1994-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1.5,NA,1.5,2,1994,1994
1994-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,6,1.5,NA,1.5,2,1994,1994
1994-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1,NA,1,1,1994,1995
1995-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1,NA,1,2,1995,1995
1995-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1,NA,1,0,1995,1995
1995-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,4,1,NA,1,1,1995,1995
1995-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,0,0,0,1995,1996
1996-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,0,0,0,1996,1996
1996-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,1,1,1,1996,1996
1996-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,1,0.25,0,0,0,1996,1996
1996-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.75,0,0,0,1996,1997
1997-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.75,1,1,1,1997,1997
1997-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.75,1,1,1,1997,1997
1997-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,3,0.75,1,1,1,1997,1997
1997-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,1,1,1,1997,1998
1998-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,0,0,0,1998,1998
1998-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,0,0,0,1998,1998
1998-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,2,0.5,1,1,1,1998,1998
1998-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,0,0,0,1998,1999
1999-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,0,0,0,1999,1999
1999-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,1,1,1,1999,1999
1999-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,2,0.5,1,1,1,1999,1999
1999-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,1999,2e3
2000-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2e3,2e3
2000-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2e3,2e3
2000-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,0,0,0,0,0,2e3,2e3
2000-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,0,0,0,2e3,2001
2001-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,1,1,1,2001,2001
2001-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,1,1,1,2001,2001
2001-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,2,0.5,0,0,0,2001,2001
2001-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2001,2002
2002-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2002,2002
2002-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2002,2002
2002-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,0,0,0,0,0,2002,2002
2002-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1,0,0,0,2002,2003
2003-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1,3,3,3,2003,2003
2003-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1,1,1,1,2003,2003
2003-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,4,1,0,0,0,2003,2003
2003-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2003,2004
2004-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2004,2004
2004-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2004,2004
2004-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,0,0,0,0,0,2004,2004
2004-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2004,2005
2005-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2005,2005
2005-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2005,2005
2005-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,0,0,0,0,0,2005,2005
2005-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2005,2006
2006-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2006,2006
2006-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2006,2006
2006-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,0,0,0,0,0,2006,2006
2006-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,1,1,1,2006,2007
2007-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,0,0,0,2007,2007
2007-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,0,0,0,2007,2007
2007-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,1,0.25,0,0,0,2007,2007
2007-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,0,0,0,2007,2008
2008-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,0,0,0,2008,2008
2008-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,2,2,2,2008,2008
2008-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,2,0.5,0,0,0,2008,2008
2008-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.75,3,3,3,2008,2009
2009-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.75,0,0,0,2009,2009
2009-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.75,0,0,0,2009,2009
2009-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,3,0.75,0,0,0,2009,2009
2009-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1.25,0,0,0,2009,2010
2010-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1.25,2,2,2,2010,2010
2010-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1.25,0,0,0,2010,2010
2010-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,5,1.25,3,3,3,2010,2010
2010-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2010,2011
2011-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2011,2011
2011-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0,0,0,0,2011,2011
2011-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,0,0,0,0,0,2011,2011
2011-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1.75,1,1,1,2011,2012
2012-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1.75,3,3,3,2012,2012
2012-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,1.75,2,2,2,2012,2012
2012-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,7,1.75,1,1,1,2012,2012
2012-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,2,2,2,2012,2013
2013-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,0,0,0,2013,2013
2013-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,0,0,0,2013,2013
2013-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,2,0.5,0,0,0,2013,2013
2013-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,1,1,1,2013,2014
2014-03-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,0,0,0,2014,2014
2014-06-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.25,0,0,0,2014,2014
2014-09-30,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,1,0.25,0,0,0,2014,2014
2014-12-31,CT,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,2ND,NA,0.5,1,1,1,2014,2015
